iter	Passed	Remaining
1151	247073	181873
1152	247312	181676
1153	247570	181494
1154	247825	181309
1155	248101	181139
1156	248357	180955
1157	248592	180755
1158	248796	180532
1159	248966	180285
1160	249169	180062
1161	249362	179832
1162	249560	179605
1163	249760	179381
1164	249965	179160
1165	250184	178948
1166	250445	178767
1167	250690	178573
1168	250896	178353
1169	251115	178141
1170	251333	177929
1171	251555	177720
1172	251735	177480
1173	251924	177248
1174	252111	177014
1175	252354	176820
1176	252529	176577
1177	252709	176338
1178	252913	176117
1179	253119	175896
1180	253340	175686
1181	253545	175465
1182	253781	175266
1183	254002	175055
1184	254262	174872
1185	254541	174701
1186	254817	174529
1187	255032	174315
1188	255255	174105
1189	255472	173892
1190	255654	173656
1191	255858	173434
1192	256027	173188
1193	256207	172950
1194	256376	172705
1195	256626	172514
1196	256849	172306
1197	257081	172103
1198	257304	171894
1199	257537	171691
1200	257735	171465
1201	257951	171252
1202	258161	171034
1203	258345	170799
1204	258581	170599
1205	258784	170377
1206	258962	170138
1207	259154	169909
1208	259347	169680
1209	259537	169450
1210	259734	169224
1211	259964	169019
1212	260210	168825
1213	260432	168616
1214	260744	168464
1215	260975	168260
1216	261196	168049
1217	261434	167850
1218	261651	167637
1219	261829	167399
1220	262036	167179
1221	262250	166964
1222	262443	166736
1223	262637	166509
1224	262885	166315
1225	263090	166094
1226	263300	165877
1227	263522	165666
1228	263761	165467
1229	263998	165267
1230	264224	165059
1231	264434	164842
1232	264661	164635
1233	264909	164441
1234	265092	164206
1235	265278	163974
1236	265447	163731
1237	265642	163505
1238	265832	163275
1239	266012	163039
1240	266227	162825
1241	266422	162599
1242	266644	162389
1243	266861	162176
1244	267098	161975
1245	267347	161781
1246	267586	161582
1247	267855	161400
1248	268116	161213
1249	268325	160995
1250	268513	160764
1251	268745	160560
1252	268995	160366
1253	269188	160138
1254	269368	159903
1255	269569	159681
1256	269790	159470
1257	270009	159258
1258	270233	159049
1259	270454	158838
1260	270669	158624
1261	270883	158409
1262	271205	158257
1263	271413	158038
1264	271599	157807
1265	271770	157566
1266	271952	157333
1267	272128	157096
1268	272313	156864
1269	272517	156643
1270	272707	156415
1271	272896	156185
1272	273093	155961
1273	273351	155771
1274	273571	155559
1275	273813	155361
1276	274082	155177
1277	274280	154953
1278	274527	154757
1279	274784	154566
1280	275063	154387
1281	275313	154192
1282	275552	153991
1283	275753	153768
1284	275934	153535
1285	276131	153311
1286	276339	153092
1287	276547	152874
1288	276785	152671
1289	277015	152465
1290	277236	152254
1291	277505	152069
1292	277741	151866
1293	277932	151638
1294	278107	151402
1295	278300	151175
1296	278498	150951
1297	278687	150722
1298	278880	150496
1299	279042	150253
1300	279214	150015
1301	279430	149802
1302	279676	149604
1303	279840	149362
1304	280061	149151
1305	280274	148936
1306	280528	148742
1307	280767	148540
1308	280994	148332
1309	281270	148150
1310	281554	147971
1311	281801	147773
1312	282018	147560
1313	282234	147346
1314	282406	147109
1315	282594	146880
1316	282792	146657
1317	283021	146449
1318	283250	146242
1319	283487	146039
1320	283751	145849
1321	284038	145671
1322	284252	145456
1323	284465	145240
1324	284654	145012
1325	284824	144775
1326	285013	144547
1327	285180	144308
1328	285400	144096
1329	285587	143867
1330	285849	143676
1331	286051	143455
1332	286247	143231
1333	286439	143005
1334	286638	142782
1335	286843	142562
1336	287044	142341
1337	287300	142147
1338	287533	141941
1339	287775	141740
1340	288087	141573
1341	288320	141367
1342	288534	141152
1343	288772	140948
1344	288970	140725
1345	289160	140498
1346	289326	140260
1347	289551	140049
1348	289778	139841
1349	290067	139662
1350	290304	139457
1351	290515	139241
1352	290751	139036
1353	290978	138827
1354	291175	138603
1355	291379	138383
1356	291564	138154
1357	291760	137930
1358	291984	137720
1359	292218	137514
1360	292425	137296
1361	292602	137063
1362	292777	136829
1363	292958	136599
1364	293168	136382
1365	293408	136179
1366	293643	135973
1367	293860	135759
1368	294235	135619
1369	294484	135419
1370	294762	135233
1371	295007	135032
1372	295241	134826
1373	295468	134616
1374	295689	134404
1375	295883	134179
1376	296093	133962
1377	296358	133769
1378	296605	133569
1379	296836	133361
1380	297026	133134
1381	297259	132927
1382	297479	132715
1383	297643	132477
1384	297841	132254
1385	298026	132026
1386	298222	131802
1387	298481	131607
1388	298654	131373
1389	298822	131138
1390	299018	130914
1391	299193	130682
1392	299382	130455
1393	299575	130231
1394	299772	130008
1395	299962	129783
1396	300169	129565
1397	300414	129363
1398	300689	129174
1399	300951	128979
1400	301194	128776
1401	301453	128579
1402	301698	128377
1403	301921	128166
1404	302127	127947
1405	302337	127729
1406	302581	127527
1407	302822	127323
1408	303044	127110
1409	303281	126904
1410	303489	126687
1411	303698	126469
1412	303927	126260
1413	304120	126035
1414	304315	125812
1415	304510	125589
1416	304864	125431
1417	305083	125217
1418	305281	124995
1419	305473	124771
1420	305674	124549
1421	305863	124324
1422	306044	124095
1423	306249	123876
1424	306418	123642
1425	306620	123422
1426	306868	123220
1427	307107	123015
1428	307352	122811
1429	307578	122601
1430	307821	122397
1431	308043	122184
1432	308249	121965
1433	308474	121755
1434	308703	121545
1435	309001	121362
1436	309227	121151
1437	309441	120936
1438	309674	120727
1439	309895	120515
1440	310097	120294
1441	310303	120075
1442	310481	119846
1443	310657	119616
1444	310851	119392
1445	311101	119190
1446	311277	118960
1447	311474	118739
1448	311670	118516
1449	311867	118294
1450	312051	118067
1451	312232	117839
1452	312414	117612
1453	312598	117385
1454	312797	117164
1455	313020	116952
1456	313281	116754
1457	313503	116542
1458	313720	116328
1459	313938	116114
1460	314201	115917
1461	314462	115718
1462	314675	115502
1463	314904	115292
1464	315162	115093
1465	315432	114898
1466	315657	114686
1467	315887	114477
1468	316109	114264
1469	316313	114045
1470	316527	113829
1471	316736	113611
1472	316923	113386
1473	317102	113158
1474	317359	112958
1475	317549	112734
1476	317744	112511
1477	317931	112287
1478	318117	112061
1479	318305	111837
1480	318487	111610
1481	318658	111379
1482	318838	111152
1483	319026	110928
1484	319212	110703
1485	319478	110506
1486	319715	110298
1487	319930	110083
1488	320137	109865
1489	320396	109665
1490	320638	109460
1491	320888	109256
1492	321154	109059
1493	321400	108854
1494	321666	108656
1495	321916	108453
1496	322145	108242
1497	322379	108033
1498	322592	107817
1499	322807	107602
1500	323024	107388
1501	323242	107173
1502	323431	106949
1503	323685	106747
1504	323877	106524
1505	324071	106302
1506	324256	106077
1507	324391	105835
1508	324583	105613
1509	324775	105390
1510	324973	105170
1511	325137	104938
1512	325321	104713
1513	325516	104492
1514	325763	104287
1515	325947	104062
1516	326137	103839
1517	326372	103630
1518	326588	103416
1519	326808	103202
1520	327053	102996
1521	327286	102787
1522	327531	102582
1523	327851	102399
1524	328046	102178
1525	328271	101966
1526	328519	101761
1527	328792	101564
1528	329033	101356
1529	329261	101145
1530	329498	100937
1531	329711	100721
1532	329981	100522
1533	330161	100296
1534	330348	100073
1535	330542	99851
1536	330713	99622
1537	330882	99393
1538	331068	99169
1539	331261	98948
1540	331454	98726
1541	331638	98502
1542	331811	98274
1543	332109	98084
1544	332288	97858
1545	332478	97635
1546	332661	97411
1547	332857	97190
1548	333057	96971
1549	333279	96758
1550	333507	96547
1551	333724	96332
1552	333913	96110
1553	334249	95930
1554	334491	95722
1555	334737	95516
1556	334969	95306
1557	335236	95105
1558	335465	94894
1559	335708	94687
1560	335936	94475
1561	336147	94259
1562	336435	94064
1563	336608	93837
1564	336809	93617
1565	336979	93390
1566	337175	93169
1567	337354	92944
1568	337536	92720
1569	337724	92497
1570	337921	92277
1571	338097	92052
1572	338300	91833
1573	338532	91623
1574	338708	91397
1575	338903	91176
1576	339074	90950
1577	339245	90723
1578	339435	90501
1579	339653	90287
1580	339906	90082
1581	340136	89871
1582	340399	89669
1583	340649	89463
1584	340887	89254
1585	341097	89038
1586	341320	88824
1587	341588	88623
1588	341831	88415
1589	342071	88207
1590	342322	88001
1591	342595	87800
1592	342826	87589
1593	343046	87375
1594	343232	87153
1595	343419	86930
1596	343589	86704
1597	343781	86483
1598	343970	86261
1599	344151	86037
1600	344386	85827
1601	344606	85613
1602	344827	85400
1603	345003	85175
1604	345202	84956
1605	345402	84737
1606	345596	84517
1607	345769	84292
1608	345966	84072
1609	346187	83859
1610	346416	83647
1611	346667	83441
1612	346931	83237
1613	347163	83026
1614	347396	82815
1615	347601	82598
1616	347827	82385
1617	348075	82178
1618	348300	81965
1619	348558	81760
1620	348909	81577
1621	349167	81371
1622	349386	81157
1623	349610	80944
1624	349784	80719
1625	349973	80498
1626	350175	80279
1627	350370	80060
1628	350552	79837
1629	350730	79613
1630	350947	79398
1631	351182	79188
1632	351368	78966
1633	351557	78745
1634	351769	78529
1635	351964	78309
1636	352148	78087
1637	352360	77871
1638	352573	77656
1639	352815	77447
1640	353089	77245
1641	353338	77037
1642	353551	76821
1643	353765	76606
1644	353962	76387
1645	354173	76170
1646	354373	75952
1647	354650	75750
1648	354920	75547
1649	355295	75365
1650	355587	75166
1651	355781	74946
1652	356014	74735
1653	356213	74516
1654	356395	74293
1655	356583	74072
1656	356772	73852
1657	356959	73631
1658	357154	73411
1659	357364	73195
